"school","latitude","longitude","time","temp_c","condition","wind_kph","humidity","will_it_rain","chance_of_rain","precip_mm"
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 00:00",24.9,"Partly Cloudy ",3.6,92,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 01:00",24.9,"Partly Cloudy ",4.3,92,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 02:00",24.7,"Partly Cloudy ",4,92,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 03:00",24.6,"Partly Cloudy ",3.6,92,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 04:00",24.5,"Patchy rain nearby",3.6,92,1,75,0.02
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 05:00",24.2,"Patchy rain nearby",3.2,92,1,84,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 06:00",24.5,"Patchy light drizzle",3.6,92,1,100,0.4
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 07:00",26.1,"Patchy rain nearby",2.5,89,1,100,0.27
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 08:00",27.6,"Patchy rain nearby",2.9,83,1,100,0.11
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 09:00",29,"Patchy light rain",4.7,76,1,100,1.18
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 10:00",29.5,"Patchy rain nearby",6.8,74,1,100,0.28
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 11:00",29.7,"Light rain shower",7.6,75,1,100,0.95
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 12:00",29.8,"Light rain shower",7.9,75,1,100,0.61
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 13:00",30,"Light rain shower",9,75,1,100,1.4
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 14:00",30,"Light rain shower",10.4,75,1,100,1.27
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 15:00",29.6,"Light rain shower",11.5,77,1,100,1.16
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-13 16:00",29.1,"Light rain shower",10.8,78,1,100,0.45
