"school","latitude","longitude","time","temp_c","condition","wind_kph","humidity","will_it_rain","chance_of_rain","precip_mm"
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 00:00",25.5,"Partly Cloudy ",1.1,89,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 01:00",25.4,"Patchy rain nearby",0.4,90,1,71,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 02:00",25.2,"Patchy rain nearby",1.4,91,1,76,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 03:00",25.2,"Patchy rain nearby",1.8,92,1,71,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 04:00",25,"Patchy rain nearby",1.4,92,1,83,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 05:00",24.7,"Patchy rain nearby",2.5,93,1,80,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 06:00",25.1,"Patchy rain nearby",4.3,93,0,69,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 07:00",26.3,"Patchy rain nearby",3.2,89,1,89,0.02
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 08:00",27.6,"Patchy rain nearby",4,82,0,68,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 09:00",29,"Patchy rain nearby",5.4,74,0,70,0.02
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 10:00",30.2,"Patchy rain nearby",7.9,69,1,100,0.06
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 11:00",30.3,"Light rain shower",10.1,71,1,100,0.98
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 12:00",30.2,"Patchy rain nearby",11.5,73,1,100,0.71
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 13:00",30.3,"Light rain shower",13,73,1,100,0.3
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 14:00",30.4,"Light rain shower",13.7,72,1,100,0.17
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 15:00",30,"Light rain shower",14,73,1,100,0.19
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 16:00",29.1,"Patchy light rain",13.7,78,1,100,0.79
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 17:00",28.4,"Light rain shower",12.2,82,1,100,0.74
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 18:00",27.5,"Patchy light drizzle",9.4,86,1,100,0.44
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 19:00",26.3,"Patchy rain nearby",6.8,89,1,100,0.1
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 20:00",30.2,"Partly cloudy",5.8,79,1,100,0.21
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 21:00",26.1,"Patchy rain nearby",4,90,1,100,0.07
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-14 22:00",25.9,"Patchy rain nearby",3.6,91,1,77,0.03
