"school","latitude","longitude","time","temp_c","condition","wind_kph","humidity","will_it_rain","chance_of_rain","precip_mm"
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 00:00",25.6,"Light rain shower",8.6,93,1,100,0.16
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 01:00",25.6,"Patchy rain nearby",8.6,93,1,100,0.15
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 02:00",25.3,"Light rain shower",9,93,1,100,0.16
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 03:00",25.3,"Light rain shower",8.6,93,1,100,0.24
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 04:00",25.1,"Light drizzle",9.7,92,1,100,0.24
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 05:00",25,"Light rain shower",9.4,93,1,100,0.25
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 06:00",25.1,"Light drizzle",8.6,92,1,100,0.26
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 07:00",26.3,"Light rain shower",10.4,90,1,100,0.23
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 08:00",27.2,"Light drizzle",12.6,87,1,100,0.42
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 09:00",27.8,"Light rain shower",14.4,84,1,100,0.77
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 10:00",28.2,"Patchy rain nearby",14.4,82,1,100,0.14
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 11:00",28.6,"Light rain shower",14.4,80,1,100,0.68
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 12:00",29.2,"Patchy rain nearby",15.8,78,1,100,0.1
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 13:00",29.9,"Patchy rain nearby",16.2,73,1,100,0.06
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 14:00",30,"Patchy rain nearby",15.1,72,1,85,0.04
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 15:00",29.8,"Patchy rain nearby",14.8,73,1,100,0.05
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 16:00",29,"Patchy rain nearby",14,76,1,100,0.22
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 17:00",28.4,"Patchy rain nearby",12.2,79,1,100,0.13
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 18:00",27.3,"Patchy rain nearby",9.4,85,0,63,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 19:00",28.3,"Light rain",6.5,89,0,0,0
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 20:00",25.9,"Patchy rain nearby",5,90,1,79,0.01
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 21:00",26,"Patchy rain nearby",4,90,1,77,0.02
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 22:00",26,"Patchy rain nearby",4.3,90,1,100,0.06
"Amityville Elementary School",14.7456519,121.1294138,"2025-07-11 23:00",25.6,"Light rain",4.3,91,1,100,0.82
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 00:00",25.6,"Light rain shower",8.6,93,1,100,0.16
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 01:00",25.6,"Patchy rain nearby",8.6,93,1,100,0.15
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 02:00",25.3,"Light rain shower",9,93,1,100,0.16
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 03:00",25.3,"Light rain shower",8.6,93,1,100,0.24
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 04:00",25.1,"Light drizzle",9.7,92,1,100,0.24
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 05:00",25,"Light rain shower",9.4,93,1,100,0.25
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 06:00",25.1,"Light drizzle",8.6,92,1,100,0.26
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 07:00",26.3,"Light rain shower",10.4,90,1,100,0.23
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 08:00",27.2,"Light drizzle",12.6,87,1,100,0.42
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 09:00",27.8,"Light rain shower",14.4,84,1,100,0.77
"Burgos Elementary School Unit I",14.7184883,121.1406047,"2025-07-11 10:00",28.2,"Patchy rain nearby",14.4,82,1,100,0.14
